u,team,group,lambda1,lambda2
0.4323076694266033,1,1,0,0
0.20579580370694192,2,1,0,0
1.3042128602542307,3,1,0,0
0.579116229832675,4,1,0,0
0.25038729435347556,5,2,0,0
2.303045220198746,6,2,0,0
0.12818758452390264,7,2,0,0
1.311715256248662,8,2,0,0
0.5554515768822627,9,3,0,0
0.4155991449949287,10,3,0,0
0.14682701910597684,11,3,0,0
0.07837836563962389,12,3,0,0
2.5435397311257657,13,4,0,0
1.7765035408391332,14,4,0,0
0.5410637360096762,15,4,0,0
0.2064778373301303,16,4,0,0
0.15054245341455358,17,5,0,0
0.24632399457231993,18,5,0,0
0.3371446271215182,19,5,0,0
0.5118973591605013,20,5,0,0
0.5250077804033346,21,6,0,0
0.6799837561422102,22,6,0,0
1.7278267092135207,23,6,0,0
1.9691441052060499,24,6,0,0
0.3983189123508597,25,7,0,0
5.880386572460842,26,7,0,0
0.3232882449705611,27,7,0,0
0.22845370803685627,28,7,0,0
3.6469828036137595,29,8,0,0
0.3474107705024215,30,8,0,0
1.6281640408513,31,8,0,0
0.6205152915066533,32,8,0,0
0.49448030988806596,1,1,0,0.02
0.23379665099807495,2,1,0,0.02
1.5216125534425382,3,1,0,0.02
0.6651914528210242,4,1,0,0.02
0.27694047733308674,5,2,0,0.02
2.4455951400218514,6,2,0,0.02
0.14188320583684624,7,2,0,0.02
1.4498905481365503,8,2,0,0.02
0.6225830471187542,9,3,0,0.02
0.46650290600397487,10,3,0,0.02
0.16467228526169228,11,3,0,0.02
0.0878516312914454,12,3,0,0.02
2.7297537740845117,13,4,0,0.02
1.9776118039088801,14,4,0,0.02
0.6024048971109864,15,4,0,0.02
0.22950108490357687,16,4,0,0.02
0.168256153472708,17,5,0,0.02
0.2754996469772999,18,5,0,0.02
0.3763225190366244,19,5,0,0.02
0.5723093887208202,20,5,0,0.02
0.5738650381305891,21,6,0,0.02
0.7423043765331399,22,6,0,0.02
1.8072454468785735,23,6,0,0.02
2.095677214970922,24,6,0,0.02
0.43615732032335175,25,7,0,0.02
4.137396313336598,26,7,0,0.02
0.3537640279464519,27,7,0,0.02
0.2513097516576283,28,7,0,0.02
3.3511952680329546,29,8,0,0.02
0.37704586653698,30,8,0,0.02
1.699527681116952,31,8,0,0.02
0.6718522181665464,32,8,0,0.02
0.570350110201037,1,1,0,0.04
0.26700990299848953,2,1,0,0.04
1.8138456149986062,3,1,0,0.04
0.7766002433095809,4,1,0,0.04
0.2929045126951106,5,2,0,0.04
2.358269930754169,6,2,0,0.04
0.1505179477706591,7,2,0,0.04
